id;Route;ID_CFPE;Chaniage;Landmark;NAMOBJ;Length;KORIDOR;distance;BM_ID;Long;Lat
0;KKL-JSH04;KKL-JSH04-00;0;;JSH-KKL-04;8256.59;KKL;0;BM-JSH-KKL-04-P1000-00;112.928;-8.1142
1;KKL-JSH04;KKL-JSH04-01;1000;;JSH-KKL-04;8256.59;KKL;1000;BM-JSH-KKL-04-P1000-01;112.937;-8.1145
2;KKL-JSH04;KKL-JSH04-02;2000;;JSH-KKL-04;8256.59;KKL;2000;BM-JSH-KKL-04-P1000-02;112.946;-8.1161
3;KKL-JSH04;KKL-JSH04-03;3000;;JSH-KKL-04;8256.59;KKL;3000;BM-JSH-KKL-04-P1000-03;112.953;-8.1207
4;KKL-JSH04;KKL-JSH04-04;4000;;JSH-KKL-04;8256.59;KKL;4000;BM-JSH-KKL-04-P1000-04;112.96;-8.1268
5;KKL-JSH04;KKL-JSH04-05;5000;;JSH-KKL-04;8256.59;KKL;5000;BM-JSH-KKL-04-P1000-05;112.965;-8.1335
6;KKL-JSH04;KKL-JSH04-06;6000;;JSH-KKL-04;8256.59;KKL;6000;BM-JSH-KKL-04-P1000-06;112.972;-8.1379
7;KKL-JSH04;KKL-JSH04-07;7000;;JSH-KKL-04;8256.59;KKL;7000;BM-JSH-KKL-04-P1000-07;112.976;-8.1436
8;KKL-JSH04;KKL-JSH04-08;8000;;JSH-KKL-04;8256.59;KKL;8000;BM-JSH-KKL-04-P1000-08;112.979;-8.152
0;KKL-JSH04;KKL-JSH04-09;8256.59;;JSU-KKL;26450.71;KKL;0;BM-JSU-KKL-P1000-001;112.979;-8.1543
1;KKL-JSH04;KKL-JSH04-10;9256.59;;JSU-KKL;26450.71;KKL;1000;BM-JSU-KKL-P1000-002;112.982;-8.1623
2;KKL-JSH04;KKL-JSH04-11;10256.59;;JSU-KKL;26450.71;KKL;2000;BM-JSU-KKL-P1000-003;112.988;-8.1689
3;KKL-JSH04;KKL-JSH04-12;11256.59;;JSU-KKL;26450.71;KKL;3000;BM-JSU-KKL-P1000-004;112.996;-8.1726
4;KKL-JSH04;KKL-JSH04-13;12256.59;;JSU-KKL;26450.71;KKL;4000;BM-JSU-KKL-P1000-005;113.004;-8.175
5;KKL-JSH04;KKL-JSH04-14;13256.59;;JSU-KKL;26450.71;KKL;5000;BM-JSU-KKL-P1000-006;113.012;-8.1776
6;KKL-JSH04;KKL-JSH04-15;14256.59;;JSU-KKL;26450.71;KKL;6000;BM-JSU-KKL-P1000-007;113.017;-8.1795
7;KKL-JSH04;KKL-JSH04-16;15256.59;;JSU-KKL;26450.71;KKL;7000;BM-JSU-KKL-P1000-008;113.023;-8.1824
8;KKL-JSH04;KKL-JSH04-17;16256.59;;JSU-KKL;26450.71;KKL;8000;BM-JSU-KKL-P1000-009;113.03;-8.1879
9;KKL-JSH04;KKL-JSH04-18;17256.59;;JSU-KKL;26450.71;KKL;9000;BM-JSU-KKL-P1000-010;113.034;-8.1958
10;KKL-JSH04;KKL-JSH04-19;18256.59;;JSU-KKL;26450.71;KKL;10000;BM-JSU-KKL-P1000-011;113.038;-8.2035
11;KKL-JSH04;KKL-JSH04-20;19256.59;;JSU-KKL;26450.71;KKL;11000;BM-JSU-KKL-P1000-012;113.042;-8.2111
12;KKL-JSH04;KKL-JSH04-21;20256.59;;JSU-KKL;26450.71;KKL;12000;BM-JSU-KKL-P1000-013;113.044;-8.2194
13;KKL-JSH04;KKL-JSH04-22;21256.59;;JSU-KKL;26450.71;KKL;13000;BM-JSU-KKL-P1000-014;113.047;-8.2275
14;KKL-JSH04;KKL-JSH04-23;22256.59;;JSU-KKL;26450.71;KKL;14000;BM-JSU-KKL-P1000-015;113.051;-8.2355
15;KKL-JSH04;KKL-JSH04-24;23256.59;;JSU-KKL;26450.71;KKL;15000;BM-JSU-KKL-P1000-016;113.056;-8.2434
16;KKL-JSH04;KKL-JSH04-25;24256.59;;JSU-KKL;26450.71;KKL;16000;BM-JSU-KKL-P1000-017;113.063;-8.2484
17;KKL-JSH04;KKL-JSH04-26;25256.59;;JSU-KKL;26450.71;KKL;17000;BM-JSU-KKL-P1000-018;113.072;-8.2511
18;KKL-JSH04;KKL-JSH04-27;26256.59;;JSU-KKL;26450.71;KKL;18000;BM-JSU-KKL-P1000-019;113.078;-8.2554
19;KKL-JSH04;KKL-JSH04-28;27256.59;;JSU-KKL;26450.71;KKL;19000;BM-JSU-KKL-P1000-020;113.087;-8.2547
20;KKL-JSH04;KKL-JSH04-29;28256.59;;JSU-KKL;26450.71;KKL;20000;BM-JSU-KKL-P1000-021;113.096;-8.255
21;KKL-JSH04;KKL-JSH04-30;29256.59;;JSU-KKL;26450.71;KKL;21000;BM-JSU-KKL-P1000-022;113.105;-8.2532
22;KKL-JSH04;KKL-JSH04-31;30256.59;;JSU-KKL;26450.71;KKL;22000;BM-JSU-KKL-P1000-023;113.114;-8.2539
23;KKL-JSH04;KKL-JSH04-32;31256.59;;JSU-KKL;26450.71;KKL;23000;BM-JSU-KKL-P1000-024;113.117;-8.2613
24;KKL-JSH04;KKL-JSH04-33;32256.59;;JSU-KKL;26450.71;KKL;24000;BM-JSU-KKL-P1000-025;113.113;-8.2695
25;KKL-JSH04;KKL-JSH04-34;33256.59;;JSU-KKL;26450.71;KKL;25000;BM-JSU-KKL-P1000-026;113.11;-8.2778
26;KKL-JSH04;KKL-JSH04-35;34256.59;;JSU-KKL;26450.71;KKL;26000;BM-JSU-KKL-P1000-027;113.107;-8.2863
26;KKL-JSH04;KKL-JSH04-36;34707.3;;JSU-KKL;26450.71;KKL;;;;
