id;Route;ID_CFPE;Chaniage;Landmark;NAMOBJ;Length;KORIDOR;distance;BM_ID;Long;Lat
0;KKL-JSH01;KKL-JSH01-00; -   ;;JSH-KKL-01;7808.54;KKL;0;BM-JSH-KKL-01-P1000-00;112.927;-8.1164
1;KKL-JSH01;KKL-JSH01-01;1,000.00;;JSH-KKL-01;7808.54;KKL;1000;BM-JSH-KKL-01-P1000-01;112.933;-8.1229
2;KKL-JSH01;KKL-JSH01-02;2,000.00;;JSH-KKL-01;7808.54;KKL;2000;BM-JSH-KKL-01-P1000-02;112.939;-8.1296
3;KKL-JSH01;KKL-JSH01-03;3,000.00;;JSH-KKL-01;7808.54;KKL;3000;BM-JSH-KKL-01-P1000-03;112.945;-8.1361
4;KKL-JSH01;KKL-JSH01-04;4,000.00;;JSH-KKL-01;7808.54;KKL;4000;BM-JSH-KKL-01-P1000-04;112.95;-8.1429
5;KKL-JSH01;KKL-JSH01-05;5,000.00;;JSH-KKL-01;7808.54;KKL;5000;BM-JSH-KKL-01-P1000-05;112.958;-8.1462
6;KKL-JSH01;KKL-JSH01-06;6,000.00;;JSH-KKL-01;7808.54;KKL;6000;BM-JSH-KKL-01-P1000-06;112.965;-8.1501
7;KKL-JSH01;KKL-JSH01-07;7,000.00;;JSH-KKL-01;7808.54;KKL;7000;BM-JSH-KKL-01-P1000-07;112.972;-8.1545
0;KKL-JSH01;KKL-JSH01-08;7,808.54;;JSU-KKL;26450.71;KKL;0;BM-JSU-KKL-P1000-001;112.979;-8.1543
1;KKL-JSH01;KKL-JSH01-09;8,808.54;;JSU-KKL;26450.71;KKL;1000;BM-JSU-KKL-P1000-002;112.982;-8.1623
2;KKL-JSH01;KKL-JSH01-10;9,808.54;;JSU-KKL;26450.71;KKL;2000;BM-JSU-KKL-P1000-003;112.988;-8.1689
3;KKL-JSH01;KKL-JSH01-11;10,808.54;;JSU-KKL;26450.71;KKL;3000;BM-JSU-KKL-P1000-004;112.996;-8.1726
4;KKL-JSH01;KKL-JSH01-12;11,808.54;;JSU-KKL;26450.71;KKL;4000;BM-JSU-KKL-P1000-005;113.004;-8.175
5;KKL-JSH01;KKL-JSH01-13;12,808.54;;JSU-KKL;26450.71;KKL;5000;BM-JSU-KKL-P1000-006;113.012;-8.1776
6;KKL-JSH01;KKL-JSH01-14;13,808.54;;JSU-KKL;26450.71;KKL;6000;BM-JSU-KKL-P1000-007;113.017;-8.1795
7;KKL-JSH01;KKL-JSH01-15;14,808.54;;JSU-KKL;26450.71;KKL;7000;BM-JSU-KKL-P1000-008;113.023;-8.1824
8;KKL-JSH01;KKL-JSH01-16;15,808.54;;JSU-KKL;26450.71;KKL;8000;BM-JSU-KKL-P1000-009;113.03;-8.1879
9;KKL-JSH01;KKL-JSH01-17;16,808.54;;JSU-KKL;26450.71;KKL;9000;BM-JSU-KKL-P1000-010;113.034;-8.1958
10;KKL-JSH01;KKL-JSH01-18;17,808.54;;JSU-KKL;26450.71;KKL;10000;BM-JSU-KKL-P1000-011;113.038;-8.2035
11;KKL-JSH01;KKL-JSH01-19;18,808.54;;JSU-KKL;26450.71;KKL;11000;BM-JSU-KKL-P1000-012;113.042;-8.2111
12;KKL-JSH01;KKL-JSH01-20;19,808.54;;JSU-KKL;26450.71;KKL;12000;BM-JSU-KKL-P1000-013;113.044;-8.2194
13;KKL-JSH01;KKL-JSH01-21;20,808.54;;JSU-KKL;26450.71;KKL;13000;BM-JSU-KKL-P1000-014;113.047;-8.2275
14;KKL-JSH01;KKL-JSH01-22;21,808.54;;JSU-KKL;26450.71;KKL;14000;BM-JSU-KKL-P1000-015;113.051;-8.2355
15;KKL-JSH01;KKL-JSH01-23;22,808.54;;JSU-KKL;26450.71;KKL;15000;BM-JSU-KKL-P1000-016;113.056;-8.2434
16;KKL-JSH01;KKL-JSH01-24;23,808.54;;JSU-KKL;26450.71;KKL;16000;BM-JSU-KKL-P1000-017;113.063;-8.2484
17;KKL-JSH01;KKL-JSH01-25;24,808.54;;JSU-KKL;26450.71;KKL;17000;BM-JSU-KKL-P1000-018;113.072;-8.2511
18;KKL-JSH01;KKL-JSH01-26;25,808.54;;JSU-KKL;26450.71;KKL;18000;BM-JSU-KKL-P1000-019;113.078;-8.2554
19;KKL-JSH01;KKL-JSH01-27;26,808.54;;JSU-KKL;26450.71;KKL;19000;BM-JSU-KKL-P1000-020;113.087;-8.2547
20;KKL-JSH01;KKL-JSH01-28;27,808.54;;JSU-KKL;26450.71;KKL;20000;BM-JSU-KKL-P1000-021;113.096;-8.255
21;KKL-JSH01;KKL-JSH01-29;28,808.54;;JSU-KKL;26450.71;KKL;21000;BM-JSU-KKL-P1000-022;113.105;-8.2532
22;KKL-JSH01;KKL-JSH01-30;29,808.54;;JSU-KKL;26450.71;KKL;22000;BM-JSU-KKL-P1000-023;113.114;-8.2539
23;KKL-JSH01;KKL-JSH01-31;30,808.54;;JSU-KKL;26450.71;KKL;23000;BM-JSU-KKL-P1000-024;113.117;-8.2613
24;KKL-JSH01;KKL-JSH01-32;31,808.54;;JSU-KKL;26450.71;KKL;24000;BM-JSU-KKL-P1000-025;113.113;-8.2695
25;KKL-JSH01;KKL-JSH01-33;32,808.54;;JSU-KKL;26450.71;KKL;25000;BM-JSU-KKL-P1000-026;113.11;-8.2778
26;KKL-JSH01;KKL-JSH01-34;33,808.54;;JSU-KKL;26450.71;KKL;26000;BM-JSU-KKL-P1000-027;113.107;-8.2863
27;KKL-JSH01;KKL-JSH01-35;34,259.25;;JSU-KKL;;;;;;
