id;Route;ID_CFPE;Chaniage;Landmark;NAMOBJ;Length;KORIDOR;distance;BM_ID;Long;Lat
0;KKL-JSH03;KKL-JSH03-00;0;;JSH-KKL-03;7159.22;KKL;0;BM-JSH-KKL-03-P1000-00;112.932;-8.1163
1;KKL-JSH03;KKL-JSH03-01;1000;;JSH-KKL-03;7159.22;KKL;1000;BM-JSH-KKL-03-P1000-01;112.94;-8.1202
2;KKL-JSH03;KKL-JSH03-02;2000;;JSH-KKL-03;7159.22;KKL;2000;BM-JSH-KKL-03-P1000-02;112.948;-8.1242
3;KKL-JSH03;KKL-JSH03-03;3000;;JSH-KKL-03;7159.22;KKL;3000;BM-JSH-KKL-03-P1000-03;112.955;-8.1295
4;KKL-JSH03;KKL-JSH03-04;4000;;JSH-KKL-03;7159.22;KKL;4000;BM-JSH-KKL-03-P1000-04;112.961;-8.135
5;KKL-JSH03;KKL-JSH03-05;5000;;JSH-KKL-03;7159.22;KKL;5000;BM-JSH-KKL-03-P1000-05;112.968;-8.1409
6;KKL-JSH03;KKL-JSH03-06;6000;;JSH-KKL-03;7159.22;KKL;6000;BM-JSH-KKL-03-P1000-06;112.973;-8.1463
7;KKL-JSH03;KKL-JSH03-07;7000;;JSH-KKL-03;7159.22;KKL;7000;BM-JSH-KKL-03-P1000-07;112.979;-8.1528
0;KKL-JSH03;KKL-JSH03-08;7159.22;;JSU-KKL;26450.71;KKL;0;BM-JSU-KKL-P1000-001;112.979;-8.1543
1;KKL-JSH03;KKL-JSH03-09;8159.22;;JSU-KKL;26450.71;KKL;1000;BM-JSU-KKL-P1000-002;112.982;-8.1623
2;KKL-JSH03;KKL-JSH03-10;9159.22;;JSU-KKL;26450.71;KKL;2000;BM-JSU-KKL-P1000-003;112.988;-8.1689
3;KKL-JSH03;KKL-JSH03-11;10159.22;;JSU-KKL;26450.71;KKL;3000;BM-JSU-KKL-P1000-004;112.996;-8.1726
4;KKL-JSH03;KKL-JSH03-12;11159.22;;JSU-KKL;26450.71;KKL;4000;BM-JSU-KKL-P1000-005;113.004;-8.175
5;KKL-JSH03;KKL-JSH03-13;12159.22;;JSU-KKL;26450.71;KKL;5000;BM-JSU-KKL-P1000-006;113.012;-8.1776
6;KKL-JSH03;KKL-JSH03-14;13159.22;;JSU-KKL;26450.71;KKL;6000;BM-JSU-KKL-P1000-007;113.017;-8.1795
7;KKL-JSH03;KKL-JSH03-15;14159.22;;JSU-KKL;26450.71;KKL;7000;BM-JSU-KKL-P1000-008;113.023;-8.1824
8;KKL-JSH03;KKL-JSH03-16;15159.22;;JSU-KKL;26450.71;KKL;8000;BM-JSU-KKL-P1000-009;113.03;-8.1879
9;KKL-JSH03;KKL-JSH03-17;16159.22;;JSU-KKL;26450.71;KKL;9000;BM-JSU-KKL-P1000-010;113.034;-8.1958
10;KKL-JSH03;KKL-JSH03-18;17159.22;;JSU-KKL;26450.71;KKL;10000;BM-JSU-KKL-P1000-011;113.038;-8.2035
11;KKL-JSH03;KKL-JSH03-19;18159.22;;JSU-KKL;26450.71;KKL;11000;BM-JSU-KKL-P1000-012;113.042;-8.2111
12;KKL-JSH03;KKL-JSH03-20;19159.22;;JSU-KKL;26450.71;KKL;12000;BM-JSU-KKL-P1000-013;113.044;-8.2194
13;KKL-JSH03;KKL-JSH03-21;20159.22;;JSU-KKL;26450.71;KKL;13000;BM-JSU-KKL-P1000-014;113.047;-8.2275
14;KKL-JSH03;KKL-JSH03-22;21159.22;;JSU-KKL;26450.71;KKL;14000;BM-JSU-KKL-P1000-015;113.051;-8.2355
15;KKL-JSH03;KKL-JSH03-23;22159.22;;JSU-KKL;26450.71;KKL;15000;BM-JSU-KKL-P1000-016;113.056;-8.2434
16;KKL-JSH03;KKL-JSH03-24;23159.22;;JSU-KKL;26450.71;KKL;16000;BM-JSU-KKL-P1000-017;113.063;-8.2484
17;KKL-JSH03;KKL-JSH03-25;24159.22;;JSU-KKL;26450.71;KKL;17000;BM-JSU-KKL-P1000-018;113.072;-8.2511
18;KKL-JSH03;KKL-JSH03-26;25159.22;;JSU-KKL;26450.71;KKL;18000;BM-JSU-KKL-P1000-019;113.078;-8.2554
19;KKL-JSH03;KKL-JSH03-27;26159.22;;JSU-KKL;26450.71;KKL;19000;BM-JSU-KKL-P1000-020;113.087;-8.2547
20;KKL-JSH03;KKL-JSH03-28;27159.22;;JSU-KKL;26450.71;KKL;20000;BM-JSU-KKL-P1000-021;113.096;-8.255
21;KKL-JSH03;KKL-JSH03-29;28159.22;;JSU-KKL;26450.71;KKL;21000;BM-JSU-KKL-P1000-022;113.105;-8.2532
22;KKL-JSH03;KKL-JSH03-30;29159.22;;JSU-KKL;26450.71;KKL;22000;BM-JSU-KKL-P1000-023;113.114;-8.2539
23;KKL-JSH03;KKL-JSH03-31;30159.22;;JSU-KKL;26450.71;KKL;23000;BM-JSU-KKL-P1000-024;113.117;-8.2613
24;KKL-JSH03;KKL-JSH03-32;31159.22;;JSU-KKL;26450.71;KKL;24000;BM-JSU-KKL-P1000-025;113.113;-8.2695
25;KKL-JSH03;KKL-JSH03-33;32159.22;;JSU-KKL;26450.71;KKL;25000;BM-JSU-KKL-P1000-026;113.11;-8.2778
26;KKL-JSH03;KKL-JSH03-34;33159.22;;JSU-KKL;26450.71;KKL;26000;BM-JSU-KKL-P1000-027;113.107;-8.2863
27;KKL-JSH03;KKL-JSH03-34;33609.93;;JSU-KKL;26450.71;KKL;;;;
